"ISSUE","QX1","QX2","QX3","QX4","QX5","QX6","QX7","DATES"
2022060,1,3,1,4,4,9,9,"2022-5-29"
2022059,6,1,9,1,4,3,3,"2022-5-27"
2022058,4,4,1,7,4,0,14,"2022-5-24"
2022057,8,5,6,6,8,9,0,"2022-5-22"
2022056,6,5,6,3,5,0,14,"2022-5-20"
2022055,3,1,9,4,6,2,13,"2022-5-17"
2022054,3,7,3,7,1,9,1,"2022-5-15"
2022053,3,5,9,2,0,4,13,"2022-5-13"
2022052,7,3,9,1,5,6,11,"2022-5-10"
2022051,4,6,8,2,8,8,6,"2022-5-8"
2022050,5,5,3,4,2,4,0,"2022-5-6"
2022049,4,9,0,1,7,0,5,"2022-5-3"
2022048,6,5,3,3,9,4,14,"2022-5-1"
2022047,2,9,5,1,6,3,9,"2022-4-29"
2022046,4,5,0,1,1,3,8,"2022-4-26"
2022045,5,6,0,4,0,9,8,"2022-4-24"
2022044,5,0,5,6,9,9,6,"2022-4-22"
2022043,6,5,6,5,6,4,2,"2022-4-19"
2022042,9,6,4,2,0,1,5,"2022-4-17"
2022041,4,2,6,5,1,9,3,"2022-4-15"
2022040,2,9,5,8,8,9,0,"2022-4-12"
2022039,0,9,3,3,3,6,9,"2022-4-10"
2022038,1,9,5,5,7,7,12,"2022-4-8"
2022037,9,3,5,0,1,2,3,"2022-4-5"
2022036,3,2,1,0,1,6,9,"2022-4-3"
2022035,2,9,1,6,5,8,3,"2022-4-1"
2022034,0,4,3,0,6,5,9,"2022-3-29"
2022033,5,8,3,5,1,1,13,"2022-3-27"
2022032,9,3,9,8,2,1,13,"2022-3-25"
2022031,7,1,8,0,8,5,7,"2022-3-22"
2022030,2,8,4,9,2,5,8,"2022-3-20"
2022029,6,1,6,1,3,5,7,"2022-3-18"
2022028,1,1,2,8,1,4,5,"2022-3-15"
2022027,9,1,1,3,2,3,7,"2022-3-13"
2022026,1,6,4,8,1,7,1,"2022-3-11"
2022025,6,6,0,4,6,6,3,"2022-3-8"
2022024,8,2,6,5,3,5,12,"2022-3-6"
2022023,5,1,2,3,7,2,11,"2022-3-4"
2022022,4,1,0,4,8,1,12,"2022-3-1"
2022021,6,1,3,0,2,9,0,"2022-2-27"
2022020,2,6,5,9,5,0,1,"2022-2-25"
2022019,8,8,0,6,3,0,6,"2022-2-22"
2022018,7,4,9,4,7,3,0,"2022-2-20"
2022017,7,0,5,4,9,8,13,"2022-2-18"
2022016,6,4,6,5,6,6,9,"2022-2-15"
2022015,1,2,8,9,9,1,8,"2022-2-13"
2022014,3,1,3,8,2,5,6,"2022-2-11"
2022013,5,7,6,6,5,4,8,"2022-2-8"
2022012,2,3,1,2,3,8,9,"2022-1-28"
2022011,8,0,2,9,2,9,10,"2022-1-25"
2022010,1,1,5,8,3,9,0,"2022-1-23"
2022009,9,3,5,6,8,4,8,"2022-1-21"
2022008,6,2,7,6,5,8,5,"2022-1-18"
2022007,6,2,1,9,8,1,7,"2022-1-16"
2022006,8,7,5,8,8,0,9,"2022-1-14"
2022005,3,9,9,8,5,4,12,"2022-1-11"
2022004,9,0,6,2,4,4,11,"2022-1-9"
2022003,4,3,5,3,9,7,0,"2022-1-7"
2022002,6,6,3,6,8,8,13,"2022-1-4"
2022001,3,4,5,6,7,1,14,"2022-1-2"
2021151,6,1,3,6,6,1,13,"2021-12-31"
2021150,8,8,4,6,3,8,5,"2021-12-28"
2021149,7,8,0,8,0,7,9,"2021-12-26"
2021148,6,4,0,0,2,4,4,"2021-12-24"
2021147,1,6,0,2,7,9,3,"2021-12-21"
2021146,0,1,3,8,0,1,11,"2021-12-19"
2021145,6,0,7,3,0,2,4,"2021-12-17"
2021144,4,7,4,8,3,9,2,"2021-12-14"
2021143,8,0,6,4,5,6,10,"2021-12-12"
2021142,3,2,0,4,1,1,13,"2021-12-10"
2021141,4,0,4,7,0,0,13,"2021-12-7"
2021140,9,8,2,7,1,0,7,"2021-12-5"
2021139,2,8,3,0,6,0,14,"2021-12-3"
2021138,2,3,6,6,6,9,9,"2021-11-30"
2021137,5,6,4,6,2,3,11,"2021-11-28"
2021136,5,3,2,7,0,5,2,"2021-11-26"
2021135,4,3,6,2,3,3,9,"2021-11-23"
2021134,2,8,1,3,9,2,8,"2021-11-21"
2021133,0,2,7,2,5,1,11,"2021-11-19"
2021132,1,0,6,1,2,0,6,"2021-11-16"
2021131,1,2,4,9,9,2,6,"2021-11-14"
2021130,1,1,5,3,4,5,6,"2021-11-12"
2021129,1,8,3,1,1,7,7,"2021-11-9"
2021128,7,6,4,1,0,5,9,"2021-11-7"
2021127,2,3,2,9,3,4,0,"2021-11-5"
2021126,7,8,6,1,9,8,2,"2021-11-2"
2021125,0,6,5,3,7,7,11,"2021-10-31"
2021124,7,2,4,1,1,3,12,"2021-10-29"
2021123,2,4,2,0,0,7,0,"2021-10-26"
2021122,6,8,8,1,6,8,3,"2021-10-24"
2021121,5,9,5,7,0,2,8,"2021-10-22"
2021120,3,4,3,7,8,1,10,"2021-10-19"
2021119,5,6,2,6,8,9,14,"2021-10-17"
2021118,8,2,1,3,7,6,0,"2021-10-15"
2021117,6,9,6,1,7,9,9,"2021-10-12"
2021116,7,7,0,3,4,0,7,"2021-10-10"
2021115,5,3,7,8,0,6,11,"2021-10-8"
2021114,8,4,0,1,8,7,14,"2021-10-5"
2021113,0,5,4,0,1,8,5,"2021-9-28"
2021112,1,0,2,4,6,6,6,"2021-9-26"
2021111,1,9,9,9,0,5,5,"2021-9-24"
2021110,7,1,9,6,4,9,7,"2021-9-21"
2021109,4,3,0,7,9,4,13,"2021-9-19"
2021108,4,7,0,0,8,7,8,"2021-9-17"
2021107,3,9,3,1,9,2,0,"2021-9-14"
2021106,4,7,9,0,2,8,5,"2021-9-12"
2021105,3,8,2,8,1,3,2,"2021-9-10"
2021104,0,1,8,2,5,7,9,"2021-9-7"
2021103,5,5,6,9,9,8,3,"2021-9-5"
2021102,1,1,6,4,7,6,4,"2021-9-3"
2021101,8,1,5,6,0,8,10,"2021-8-31"
2021100,0,2,3,5,5,9,14,"2021-8-29"
2021099,4,0,0,3,7,8,7,"2021-8-27"
2021098,1,0,7,7,9,6,5,"2021-8-24"
2021097,0,5,5,4,4,5,0,"2021-8-22"
2021096,6,0,5,5,9,3,13,"2021-8-20"
2021095,4,6,5,7,6,7,6,"2021-8-17"
2021094,4,8,1,5,7,1,1,"2021-8-15"
2021093,7,5,6,7,3,9,8,"2021-8-13"
2021092,9,9,7,9,1,2,14,"2021-8-10"
2021091,8,6,9,4,7,3,5,"2021-8-8"
2021090,2,6,8,7,0,4,6,"2021-8-6"
2021089,3,8,5,9,8,3,10,"2021-8-3"
2021088,9,7,5,6,2,5,5,"2021-8-1"
2021087,3,6,2,9,8,8,3,"2021-7-30"
2021086,1,1,9,4,2,0,0,"2021-7-27"
2021085,0,3,5,9,3,2,7,"2021-7-25"
2021084,4,3,1,6,6,7,0,"2021-7-23"
2021083,9,8,8,4,7,9,13,"2021-7-20"
2021082,4,7,5,1,3,5,5,"2021-7-18"
2021081,5,2,7,3,0,3,4,"2021-7-16"
2021080,7,2,2,8,2,4,7,"2021-7-13"
2021079,1,1,2,5,0,8,11,"2021-7-11"
2021078,0,7,3,3,1,8,7,"2021-7-9"
2021077,1,2,8,6,2,6,11,"2021-7-6"
2021076,8,1,6,8,0,0,3,"2021-7-4"
2021075,1,9,5,4,2,7,10,"2021-7-2"
2021074,2,0,7,2,1,5,12,"2021-6-29"
2021073,3,5,9,3,3,4,5,"2021-6-27"
2021072,2,5,4,8,7,5,11,"2021-6-25"
2021071,7,6,3,7,5,3,11,"2021-6-22"
2021070,2,0,3,3,6,9,11,"2021-6-20"
2021069,2,5,4,9,5,3,2,"2021-6-18"
2021068,8,8,4,8,5,1,14,"2021-6-15"
2021067,7,0,8,8,8,1,3,"2021-6-13"
2021066,5,9,1,0,4,4,2,"2021-6-11"
2021065,8,7,4,0,8,6,10,"2021-6-8"
2021064,2,0,2,5,5,5,3,"2021-6-6"
2021063,9,5,4,8,2,9,3,"2021-6-4"
2021062,8,6,1,1,8,7,2,"2021-6-1"
2021061,4,5,4,6,0,2,8,"2021-5-30"
2021060,6,0,4,5,8,4,7,"2021-5-28"
2021059,8,9,6,6,6,2,14,"2021-5-25"
2021058,4,1,5,7,1,4,12,"2021-5-23"
2021057,8,6,1,1,5,2,7,"2021-5-21"
2021056,3,8,1,0,0,3,11,"2021-5-18"
2021055,5,1,8,4,7,3,14,"2021-5-16"
2021054,4,9,6,6,4,9,4,"2021-5-14"
2021053,1,4,3,6,4,6,11,"2021-5-11"
2021052,7,3,3,5,5,8,14,"2021-5-9"
2021051,4,6,0,0,3,9,14,"2021-5-7"
2021050,3,1,9,0,3,0,2,"2021-5-4"
2021049,3,4,4,4,0,5,14,"2021-5-2"
2021048,2,3,9,6,2,1,5,"2021-4-30"
2021047,4,0,1,9,8,3,13,"2021-4-27"
2021046,9,3,5,9,5,3,14,"2021-4-25"
2021045,2,6,0,0,2,8,14,"2021-4-23"
2021044,0,4,4,9,6,3,5,"2021-4-20"
2021043,4,6,0,2,1,3,5,"2021-4-18"
2021042,1,9,6,3,9,7,2,"2021-4-16"
2021041,7,2,8,8,9,0,14,"2021-4-13"
2021040,4,9,3,9,5,0,12,"2021-4-11"
2021039,0,7,0,2,8,4,14,"2021-4-9"
2021038,1,5,8,1,4,1,11,"2021-4-6"
2021037,7,8,1,0,0,2,13,"2021-4-4"
2021036,2,3,3,9,5,1,2,"2021-4-2"
2021035,1,3,6,5,7,8,4,"2021-3-30"
2021034,3,5,2,3,1,1,3,"2021-3-28"
2021033,0,7,6,2,3,7,9,"2021-3-26"
2021032,4,5,2,5,2,0,0,"2021-3-23"
2021031,8,6,8,6,1,7,1,"2021-3-21"
2021030,0,2,9,2,6,3,10,"2021-3-19"
2021029,5,5,4,4,0,8,6,"2021-3-16"
2021028,9,3,5,4,4,4,6,"2021-3-14"
2021027,9,3,7,6,3,2,0,"2021-3-12"
2021026,3,9,9,2,1,7,4,"2021-3-9"
2021025,4,4,1,8,0,0,10,"2021-3-7"
2021024,5,6,5,1,7,2,3,"2021-3-5"
2021023,9,3,9,7,9,2,14,"2021-3-2"
2021022,0,2,5,9,2,6,0,"2021-2-28"
2021021,2,8,5,4,8,5,8,"2021-2-26"
2021020,9,9,4,0,0,3,14,"2021-2-23"
2021019,4,5,9,0,8,2,6,"2021-2-21"
2021018,7,9,2,7,8,0,1,"2021-2-19"
2021017,5,2,2,0,7,9,11,"2021-2-7"
2021016,7,5,2,9,1,8,4,"2021-2-5"
2021015,7,7,6,5,4,8,11,"2021-2-2"
2021014,7,7,1,7,6,2,11,"2021-1-31"
2021013,6,7,2,0,4,4,9,"2021-1-29"
2021012,0,3,7,0,1,1,9,"2021-1-26"
2021011,5,6,5,6,3,0,4,"2021-1-24"
2021010,4,8,1,5,5,7,6,"2021-1-22"
2021009,9,7,9,0,8,8,5,"2021-1-19"
2021008,5,0,7,4,3,7,14,"2021-1-17"
2021007,1,8,2,9,0,1,12,"2021-1-15"
2021006,2,3,9,2,5,4,13,"2021-1-12"
2021005,0,9,5,3,7,0,0,"2021-1-10"
2021004,0,0,7,8,4,9,1,"2021-1-8"
2021003,9,7,2,3,8,1,14,"2021-1-5"
2021002,7,0,7,0,7,8,8,"2021-1-3"
2021001,5,2,1,0,3,5,13,"2021-1-1"
2020133,1,9,5,9,0,2,12,"2020-12-29"
2020132,5,5,2,9,7,9,6,"2020-12-27"
2020131,8,5,0,0,3,8,9,"2020-12-25"
2020130,5,3,9,8,0,6,4,"2020-12-22"
2020129,7,8,3,9,1,8,5,"2020-12-20"
2020128,4,2,9,7,1,8,1,"2020-12-18"
2020127,3,5,8,5,8,2,13,"2020-12-15"
2020126,9,7,1,3,8,3,13,"2020-12-13"
2020125,1,9,1,1,7,4,6,"2020-12-11"
2020124,4,1,0,9,5,2,11,"2020-12-8"
2020123,7,7,1,6,4,1,4,"2020-12-6"
2020122,6,0,1,9,8,7,9,"2020-12-4"
2020121,1,2,7,9,8,4,9,"2020-12-1"
2020120,5,0,4,0,4,8,14,"2020-11-29"
2020119,2,2,2,7,2,3,7,"2020-11-27"
2020118,7,5,1,1,6,8,14,"2020-11-24"
2020117,7,9,0,5,0,6,5,"2020-11-22"
2020116,9,7,3,0,3,1,10,"2020-11-20"
2020115,1,3,4,8,8,5,4,"2020-11-17"
2020114,8,8,7,3,4,5,0,"2020-11-15"
2020113,4,9,8,0,0,3,4,"2020-11-13"
2020112,0,4,4,4,9,4,6,"2020-11-10"
2020111,3,3,9,0,5,8,14,"2020-11-8"
2020110,6,4,5,7,5,8,2,"2020-11-6"
2020109,9,1,9,4,1,8,3,"2020-11-3"
2020108,3,3,2,0,5,1,6,"2020-11-1"
2020107,2,3,8,9,3,7,0,"2020-10-30"
2020106,3,1,8,9,0,8,1,"2020-10-27"
2020105,4,1,7,1,8,2,4,"2020-10-25"
2020104,5,0,9,9,3,1,0,"2020-10-23"
2020103,0,8,1,6,5,3,6,"2020-10-20"
2020102,9,5,3,3,3,3,9,"2020-10-18"
2020101,3,6,9,5,4,3,12,"2020-10-16"
2020100,5,6,0,0,2,1,7,"2020-10-13"
2020099,2,3,8,1,1,5,0,"2020-10-11"
2020098,1,2,9,2,1,6,0,"2020-10-9"
2020097,9,7,9,3,0,9,4,"2020-10-6"
2020096,4,3,5,6,2,9,7,"2020-9-29"
2020095,2,5,2,2,8,8,2,"2020-9-27"
2020094,6,9,0,8,5,5,4,"2020-9-25"
2020093,6,9,3,0,0,5,0,"2020-9-22"
2020092,8,8,3,2,6,7,9,"2020-9-20"
2020091,2,3,3,3,9,3,6,"2020-9-18"
2020090,2,5,1,7,8,6,1,"2020-9-15"
2020089,9,3,3,6,8,6,3,"2020-9-13"
2020088,5,5,8,9,8,5,7,"2020-9-11"
2020087,1,3,9,2,1,0,8,"2020-9-8"
2020086,7,2,4,2,3,8,9,"2020-9-6"
2020085,1,4,5,9,5,9,9,"2020-9-4"
2020084,4,8,4,1,5,5,2,"2020-9-1"
2020083,8,4,4,3,1,1,2,"2020-8-30"
2020082,0,0,4,4,1,5,1,"2020-8-28"
2020081,1,7,9,0,5,9,5,"2020-8-25"
2020080,5,8,3,6,8,8,6,"2020-8-23"
2020079,0,3,0,9,6,4,1,"2020-8-21"
2020078,5,3,1,1,6,6,2,"2020-8-18"
2020077,0,0,6,1,8,7,9,"2020-8-16"
2020076,4,8,9,0,8,7,9,"2020-8-14"
2020075,9,7,0,5,5,3,5,"2020-8-11"
2020074,9,7,9,3,8,2,7,"2020-8-9"
2020073,5,9,1,0,4,5,6,"2020-8-7"
2020072,0,1,9,3,7,1,4,"2020-8-4"
2020071,5,7,7,1,1,3,4,"2020-8-2"
2020070,4,7,8,6,2,8,7,"2020-7-31"
2020069,3,1,1,4,5,1,5,"2020-7-28"
2020068,9,6,8,0,8,5,4,"2020-7-26"
2020067,5,6,9,2,8,1,5,"2020-7-24"
2020066,8,4,3,8,3,2,8,"2020-7-21"
2020065,9,2,8,5,6,6,4,"2020-7-19"
2020064,4,2,5,4,4,6,8,"2020-7-17"
2020063,5,8,7,2,3,3,0,"2020-7-14"
2020062,9,3,6,4,1,4,9,"2020-7-12"
2020061,9,4,1,5,7,1,1,"2020-7-10"
2020060,4,2,1,0,4,9,7,"2020-7-7"
2020059,5,2,8,6,8,8,9,"2020-7-5"
2020058,5,3,3,8,0,1,8,"2020-7-3"
2020057,8,3,2,3,3,7,1,"2020-6-30"
2020056,8,2,6,5,5,5,3,"2020-6-28"
2020055,9,5,7,2,0,4,6,"2020-6-26"
2020054,5,2,8,2,7,8,6,"2020-6-23"
2020053,8,2,0,5,9,3,3,"2020-6-21"
2020052,5,3,4,8,9,3,6,"2020-6-19"
2020051,1,0,3,9,2,3,3,"2020-6-16"
2020050,4,6,7,4,8,4,4,"2020-6-14"
2020049,3,1,0,3,8,5,0,"2020-6-12"
2020048,1,5,7,3,2,6,6,"2020-6-9"
2020047,7,8,8,5,4,1,9,"2020-6-7"
2020046,5,9,5,0,2,4,0,"2020-6-5"
2020045,5,4,8,0,4,3,2,"2020-6-2"
2020044,7,9,7,2,1,4,7,"2020-5-31"
2020043,7,7,5,7,0,8,6,"2020-5-29"
2020042,3,2,2,0,8,1,3,"2020-5-26"
2020041,4,9,3,5,1,9,7,"2020-5-24"
2020040,8,9,3,8,2,5,4,"2020-5-22"
2020039,3,7,2,7,6,3,7,"2020-5-19"
2020038,3,8,0,6,3,4,5,"2020-5-17"
2020037,9,5,3,5,2,7,0,"2020-5-15"
2020036,5,2,7,7,6,9,6,"2020-5-12"
2020035,3,1,8,4,1,2,3,"2020-5-10"
2020034,2,4,8,9,3,9,0,"2020-5-8"
2020033,7,4,8,3,9,0,5,"2020-5-5"
2020032,2,6,3,3,9,2,3,"2020-5-3"
2020031,7,5,2,5,3,2,5,"2020-5-1"
2020030,2,2,8,3,2,1,1,"2020-4-28"
2020029,2,7,6,0,2,1,4,"2020-4-26"
2020028,1,3,1,7,8,4,8,"2020-4-24"
2020027,8,9,4,4,6,2,7,"2020-4-21"
2020026,9,3,3,9,2,9,4,"2020-4-19"
2020025,5,3,2,1,1,5,7,"2020-4-17"
2020024,8,1,5,1,5,0,7,"2020-4-14"
2020023,7,5,3,3,6,0,5,"2020-4-12"
2020022,3,1,5,0,6,7,0,"2020-4-10"
2020021,7,0,3,1,8,4,1,"2020-4-7"
2020020,3,3,2,9,1,7,2,"2020-4-5"
2020019,4,8,1,4,2,0,7,"2020-4-3"
2020018,6,1,8,3,3,3,9,"2020-3-31"
2020017,7,4,5,5,5,3,7,"2020-3-29"
2020016,2,6,6,1,3,1,8,"2020-3-27"
2020015,5,8,6,2,2,2,0,"2020-3-24"
2020014,6,6,0,2,4,4,0,"2020-3-22"
2020013,4,5,8,5,1,0,1,"2020-3-20"
2020012,7,3,6,8,2,1,4,"2020-3-17"
2020011,7,8,8,7,5,8,6,"2020-3-15"
2020010,3,3,3,1,4,1,7,"2020-3-13"
2020009,6,7,4,2,4,1,4,"2020-1-21"
2020008,7,0,8,2,6,0,4,"2020-1-19"
2020007,9,4,3,1,8,4,0,"2020-1-17"
2020006,0,9,0,8,9,9,8,"2020-1-14"
2020005,9,4,5,0,5,0,8,"2020-1-12"
2020004,9,5,9,1,3,7,8,"2020-1-10"
2020003,4,2,2,2,9,7,5,"2020-1-7"
2020002,3,1,0,8,2,2,1,"2020-1-5"
2020001,6,7,9,4,5,1,9,"2020-1-3"
2019151,1,7,1,0,4,4,3,"2019-12-31"
2019150,5,5,9,9,7,1,3,"2019-12-29"
2019149,4,0,5,1,6,5,3,"2019-12-27"
2019148,7,8,9,8,1,8,2,"2019-12-24"
2019147,8,1,4,6,9,6,1,"2019-12-22"
2019146,5,4,6,4,9,2,6,"2019-12-20"
2019145,1,6,9,8,9,3,3,"2019-12-17"
2019144,1,8,4,8,7,4,1,"2019-12-15"
2019143,8,3,8,3,0,5,5,"2019-12-13"
2019142,1,4,3,5,3,0,7,"2019-12-10"
2019141,1,1,3,0,9,0,7,"2019-12-8"
2019140,7,2,8,0,5,0,8,"2019-12-6"
2019139,2,1,5,6,6,0,6,"2019-12-3"
2019138,9,1,5,5,9,7,5,"2019-12-1"
2019137,9,4,6,2,2,8,4,"2019-11-29"
2019136,5,5,7,3,7,9,5,"2019-11-26"
2019135,9,7,6,5,2,6,7,"2019-11-24"
2019134,4,2,0,3,4,3,7,"2019-11-22"
2019133,5,5,9,3,5,5,3,"2019-11-19"
2019132,6,1,3,8,8,2,0,"2019-11-17"
2019131,8,2,4,1,3,8,9,"2019-11-15"
2019130,0,7,9,0,2,5,6,"2019-11-12"
2019129,0,3,2,2,1,0,8,"2019-11-10"
2019128,6,9,5,5,9,4,8,"2019-11-8"
2019127,8,4,8,1,2,3,9,"2019-11-5"
2019126,7,3,3,6,0,4,7,"2019-11-3"
2019125,4,4,9,9,7,2,8,"2019-11-1"
2019124,9,5,1,8,1,5,6,"2019-10-29"
2019123,7,8,1,2,3,5,0,"2019-10-27"
2019122,6,8,7,0,9,9,0,"2019-10-25"
2019121,3,3,9,8,4,7,9,"2019-10-22"
2019120,8,4,0,3,0,2,6,"2019-10-20"
2019119,9,5,9,2,2,1,7,"2019-10-18"
2019118,3,7,8,1,9,2,7,"2019-10-15"
2019117,2,7,0,3,7,1,9,"2019-10-13"
2019116,3,0,5,8,8,0,3,"2019-10-11"
2019115,4,6,8,3,5,8,6,"2019-10-8"
2019114,2,7,7,4,9,9,0,"2019-9-29"
2019113,6,5,9,9,8,4,4,"2019-9-27"
2019112,1,4,1,7,8,9,2,"2019-9-24"
2019111,5,0,3,5,0,2,2,"2019-9-22"
2019110,6,9,2,8,9,2,3,"2019-9-20"
2019109,4,3,9,9,8,8,2,"2019-9-17"
2019108,0,8,0,1,9,7,9,"2019-9-15"
2019107,9,2,0,2,0,3,4,"2019-9-13"
2019106,8,7,3,4,3,5,6,"2019-9-10"
2019105,2,3,9,3,3,4,0,"2019-9-8"
2019104,5,4,5,6,0,7,9,"2019-9-6"
2019103,0,6,3,1,5,9,6,"2019-9-3"
2019102,1,0,5,3,9,6,0,"2019-9-1"
2019101,0,5,6,3,2,5,6,"2019-8-30"
2019100,0,7,8,7,8,6,9,"2019-8-27"
2019099,9,7,7,3,0,1,7,"2019-8-25"
2019098,6,0,5,3,8,0,9,"2019-8-23"
2019097,6,1,6,5,4,4,5,"2019-8-20"
2019096,2,4,6,0,3,2,8,"2019-8-18"
2019095,3,9,0,8,3,6,3,"2019-8-16"
2019094,4,0,8,5,6,3,5,"2019-8-13"
2019093,7,6,0,9,8,4,5,"2019-8-11"
2019092,8,8,1,1,1,7,2,"2019-8-9"
2019091,3,8,5,5,1,8,7,"2019-8-6"
2019090,0,0,6,8,6,6,6,"2019-8-4"
2019089,5,8,6,3,2,1,7,"2019-8-2"
2019088,6,2,9,9,7,8,9,"2019-7-30"
2019087,1,6,8,1,3,0,0,"2019-7-28"
2019086,2,3,5,3,2,9,0,"2019-7-26"
2019085,7,1,9,8,1,4,1,"2019-7-23"
2019084,6,4,7,9,0,0,3,"2019-7-21"
2019083,0,4,9,5,9,1,1,"2019-7-19"
2019082,0,6,7,3,8,7,4,"2019-7-16"
2019081,4,3,0,7,8,1,5,"2019-7-14"
2019080,3,2,5,5,8,1,1,"2019-7-12"
2019079,9,8,5,4,2,0,5,"2019-7-9"
2019078,4,0,7,0,3,9,3,"2019-7-7"
2019077,4,2,5,1,0,3,4,"2019-7-5"
2019076,2,5,9,7,8,1,1,"2019-7-2"
2019075,8,3,3,2,6,5,5,"2019-6-30"
2019074,0,9,5,6,2,0,5,"2019-6-28"
2019073,2,2,4,5,5,2,9,"2019-6-25"
2019072,8,6,1,0,4,9,6,"2019-6-23"
2019071,2,4,9,8,4,8,2,"2019-6-21"
2019070,4,2,4,9,9,7,2,"2019-6-18"
2019069,6,6,8,0,1,4,7,"2019-6-16"
2019068,6,6,3,3,8,0,9,"2019-6-14"
2019067,0,8,8,5,9,7,4,"2019-6-11"
2019066,6,7,7,8,6,1,0,"2019-6-9"
2019065,4,3,3,6,2,2,7,"2019-6-7"
2019064,1,7,1,2,2,3,3,"2019-6-4"
2019063,1,2,8,2,6,4,8,"2019-6-2"
2019062,5,4,7,4,1,2,8,"2019-5-31"
2019061,2,9,8,8,9,6,7,"2019-5-28"
2019060,1,8,4,7,9,2,8,"2019-5-26"
2019059,0,1,9,7,0,2,6,"2019-5-24"
2019058,5,8,9,9,5,1,8,"2019-5-21"
2019057,9,9,7,5,2,0,3,"2019-5-19"
2019056,6,7,7,6,4,4,2,"2019-5-17"
2019055,5,8,0,6,8,7,7,"2019-5-14"
2019054,1,6,0,7,4,6,1,"2019-5-12"
2019053,7,6,7,9,3,2,4,"2019-5-10"
2019052,8,5,0,7,8,3,8,"2019-5-7"
2019051,2,9,1,5,4,9,7,"2019-5-5"
2019050,2,6,0,2,0,8,9,"2019-5-3"
2019049,2,5,8,9,9,1,6,"2019-4-30"
2019048,6,8,2,4,2,9,8,"2019-4-28"
2019047,6,7,3,2,7,8,6,"2019-4-26"
2019046,2,9,5,5,1,1,2,"2019-4-23"
2019045,9,7,7,3,8,7,9,"2019-4-21"
2019044,8,2,0,6,3,0,8,"2019-4-19"
2019043,8,1,4,4,7,3,7,"2019-4-16"
2019042,2,6,0,8,2,6,2,"2019-4-14"
2019041,6,0,2,5,8,5,1,"2019-4-12"
2019040,4,8,1,4,8,8,2,"2019-4-9"
2019039,7,7,3,1,4,2,8,"2019-4-7"
2019038,0,0,1,7,9,9,5,"2019-4-5"
2019037,2,1,1,0,3,9,8,"2019-4-2"
2019036,5,7,5,2,0,0,8,"2019-3-31"
2019035,3,8,7,3,6,1,8,"2019-3-29"
2019034,3,0,2,8,0,0,0,"2019-3-26"
2019033,1,1,0,0,5,5,2,"2019-3-24"
2019032,2,9,0,2,5,2,2,"2019-3-22"
2019031,1,7,4,1,2,0,3,"2019-3-19"
2019030,7,9,3,8,6,2,7,"2019-3-17"
2019029,3,5,3,4,6,0,3,"2019-3-15"
2019028,2,4,5,1,6,5,1,"2019-3-12"
2019027,9,1,4,8,3,2,8,"2019-3-10"
2019026,3,7,9,0,5,5,7,"2019-3-8"
2019025,3,4,6,6,6,5,0,"2019-3-5"
2019024,2,9,4,1,8,3,5,"2019-3-3"
2019023,5,2,5,5,3,5,7,"2019-3-1"
2019022,4,4,8,7,7,2,6,"2019-2-26"
2019021,2,5,0,8,7,5,0,"2019-2-24"
2019020,6,7,1,1,4,9,3,"2019-2-22"
2019019,4,7,9,7,9,5,3,"2019-2-19"
2019018,5,9,4,1,0,1,2,"2019-2-17"
2019017,2,4,9,3,5,5,9,"2019-2-15"
2019016,0,2,0,7,0,6,0,"2019-2-12"
2019015,3,9,9,3,0,7,2,"2019-2-3"
2019014,6,6,3,0,8,4,9,"2019-2-1"
2019013,3,1,7,8,8,6,2,"2019-1-29"
2019012,6,2,1,4,2,4,1,"2019-1-27"
2019011,9,1,8,7,5,3,5,"2019-1-25"
2019010,2,8,2,3,8,3,9,"2019-1-22"
2019009,7,1,9,7,1,8,9,"2019-1-20"
2019008,8,7,3,9,5,4,7,"2019-1-18"
2019007,2,8,4,0,6,8,9,"2019-1-15"
2019006,0,6,2,4,7,5,5,"2019-1-13"
2019005,4,9,1,5,2,7,6,"2019-1-11"
2019004,4,4,6,0,9,2,2,"2019-1-8"
2019003,9,9,5,0,5,4,4,"2019-1-6"
2019002,1,1,6,4,4,7,5,"2019-1-4"
2019001,6,5,9,6,6,2,9,"2019-1-1"
2018153,6,5,6,9,9,4,7,"2018-12-30"
2018152,4,7,2,7,6,2,7,"2018-12-28"
2018151,7,1,4,4,9,5,9,"2018-12-25"
2018150,2,6,0,2,0,0,9,"2018-12-23"
2018149,5,7,6,6,2,0,7,"2018-12-21"
2018148,2,3,3,2,0,9,4,"2018-12-18"
2018147,5,1,4,1,8,0,0,"2018-12-16"
2018146,2,6,8,9,9,5,9,"2018-12-14"
2018145,7,2,9,6,2,8,8,"2018-12-11"
2018144,7,1,5,6,6,9,1,"2018-12-9"
2018143,4,2,2,1,6,6,9,"2018-12-7"
2018142,5,0,0,1,4,0,7,"2018-12-4"
2018141,5,3,9,5,3,4,4,"2018-12-2"
2018140,5,5,8,0,9,1,4,"2018-11-30"
2018139,7,3,3,5,2,7,8,"2018-11-27"
2018138,8,9,0,2,9,0,0,"2018-11-25"
2018137,5,3,1,0,9,7,6,"2018-11-23"
2018136,2,4,7,6,7,0,0,"2018-11-20"
2018135,5,8,8,1,1,2,2,"2018-11-18"
2018134,3,7,8,4,8,1,9,"2018-11-16"
2018133,9,6,8,7,3,7,1,"2018-11-13"
2018132,1,6,3,3,4,7,7,"2018-11-11"
